Date of ,Location of ,Violation,Violation Base,Amount Due/
10/6/15,Park Avenue Garage,Parking Permit Vio,50,0
10/6/15,Park Avenue Garage,Parking Permit Vio,50,0
10/6/15,Park Avenue Garage,Parking Permit Vio,50,0
10/6/15,Second Street Garage,Parking Permit Vio,50,0
10/6/15,Second Street Garage,Parking Permit Vio,50,0
10/6/15,Highland Avenue Garage,Parking Permit Vio,50,0
10/6/15,Highland Avenue Garage,Parking Permit Vio,50,0
10/6/15,Highland Avenue Garage,Parking Permit Vio,50,0
10/6/15,Highland Avenue Garage,Parking Permit Vio,50,0
10/6/15,Lot Specific 6090,Parking Permit Vio,50,0
10/6/15,South Of Sixth 8106,Meter Violation,50,0
10/6/15,South Of Sixth 8106,Meter Violation,50,70
10/6/15,South Of Sixth 8106,Meter Violation,50,0
10/6/15,South Of Sixth 8106,Meter Violation,50,0
10/6/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/6/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/6/15,Highland Avenue,Park/Improper Area,60,80
10/6/15,Metered Lot 3141,Meter Violation,50,0
10/6/15,Metered Lot 3141,Boot Fee - 1QA,80,0
10/6/15,Z1 2153,Parking Permit Vio,50,0
10/6/15,Lot Specific 6097,Parking Permit Vio,50,0
10/6/15,Lot Specific 3231,Park/Improper Area,60,80
10/6/15,Lot Specific 6097,Parking Permit Vio,50,70
10/6/15,Lot Specific 1016,Parking Permit Vio,50,0
10/6/15,Lot Specific 1016,Parking Permit Vio,50,0
10/6/15,Z1 2243,Parking Permit Vio,50,70
10/6/15,Lot Specific 1016,Parking Permit Vio,50,0
10/6/15,Z1 2243,Parking Permit Vio,50,70
10/6/15,Bio Science West,Prohibited Parking,85,0
10/6/15,Lot Specific 3039,Park/Improper Area,60,0
10/6/15,Lot Specific 3039,Park/Improper Area,60,0
10/6/15,Lot Specific 4144,Parking Permit Vio,50,0
10/6/15,Svc 3044,Overtime,50,0
10/6/15,Enke Drive,Meter Violation,50,70
10/6/15,Svc & Disabled 1142,Overtime,50,0
10/6/15,Enke Drive,Meter Violation,50,70
10/6/15,Enke Drive,Meter Violation,50,0
10/6/15,Enke Drive,Meter Violation,50,0
10/6/15,Z1 1018,Parking Over Line,60,0
10/6/15,Cherry Avenue Garage,Parking Over Line,60,0
10/6/15,Cherry Avenue Garage,Parking Permit Vio,50,0
10/6/15,Z1 1018,Parking Permit Vio,50,0
10/6/15,Z1 1018,Parking Permit Vio,50,0
10/6/15,Lot Specific 5072,Meter Violation,50,0
10/6/15,Z1 1018,Parking Permit Vio,50,0
10/6/15,Lot Specific 5072,Meter Violation,50,0
10/6/15,Lot Specific 5072,Parking Permit Vio,50,0
10/6/15,Cherry Avenue Garage,Parking Over Line,60,80
10/6/15,Lot Specific 5072,Parking Permit Vio,50,0
10/6/15,Lot Specific 1157,Park/Improper Area,60,0
10/6/15,Lot Specific 1016,Parking Permit Vio,50,0
10/6/15,Lot Specific 1016,Parking Permit Vio,50,70
10/6/15,Z1 1232,Parking Permit Vio,50,0
10/6/15,Z1 1232,Parking Permit Vio,50,0
10/6/15,Z1 1115,Prohibited Parking,85,0
10/6/15,Cherry Avenue Garage,Park/Improper Area,60,0
10/6/15,Park Avenue Garage,Overtime,50,0
10/6/15,Cherry Avenue Garage,Park/Improper Area,60,80
10/6/15,Z1 2119,Service Space,60,0
10/6/15,Lot Specific 3039,Parking Permit Vio,50,0
10/6/15,Lot Specific 3039,Park/Improper Area,60,0
10/6/15,Svc & Disabled 5075,Parking Permit Vio,50,0
10/6/15,Lot Specific 4057,Parking Permit Vio,50,0
10/6/15,Second Street Garage,Parking Over Line,60,0
10/6/15,Cherry Avenue Garage,Parking Over Line,60,0
10/6/15,Svc & Disabled 5073,Overtime,50,0
10/6/15,Lot Specific 3231,Parking Permit Vio,50,0
10/6/15,Cherry Avenue Garage,Parking Over Line,60,0
10/6/15,Lot Specific 3039,Parking Permit Vio,50,0
10/6/15,Lot Specific 3039,Parking Permit Vio,50,0
10/6/15,Lot Specific 3039,Parking Permit Vio,50,0
10/6/15,UMC Employee Health,Service Space,60,0
10/6/15,Martin Avenue North,Service Space,60,0
10/6/15,Lot Specific 4056,Parking Permit Vio,50,0
10/6/15,Lot Specific 4056,Parking Permit Vio,50,0
10/6/15,Svc & Disabled 5083,Service Space,60,0
10/6/15,Lot Specific 2012,Parking Permit Vio,50,0
10/6/15,Lot Specific 4052,Park/Improper Area,60,0
10/6/15,Lot Specific 2012,Parking Permit Vio,50,0
10/6/15,Lot Specific 2012,Parking Permit Vio,50,0
10/6/15,Lot Specific 4052,Park/Improper Area,60,0
10/6/15,Lot Specific 2012,Parking Permit Vio,50,0
10/6/15,Lot Specific 2012,Parking Permit Vio,50,0
10/6/15,Lot Specific 2012,Parking Permit Vio,50,0
10/6/15,Lot Specific 2012,Parking Permit Vio,50,0
10/6/15,Lot Specific 2012,Parking Permit Vio,50,0
10/6/15,Lot Specific 3039,Parking Permit Vio,50,0
10/6/15,South Of Sixth 7105,Parking Permit Vio,50,0
10/6/15,Lot Specific 3039,Parking Permit Vio,50,0
10/6/15,Lot Specific 3039,Parking Permit Vio,50,0
10/6/15,Lot Specific 3039,Parking Permit Vio,50,0
10/6/15,Lot Specific 6090,Park/Improper Area,60,0
10/6/15,Enke Drive,Meter Violation,50,70
10/6/15,Lot Specific 3039,Park/Improper Area,60,0
10/6/15,Metered Lot 6088,Service Space,60,0
10/6/15,Metered Lot 6088,Meter Violation,50,0
10/6/15,Metered Lot 6088,Meter Violation,50,70
10/6/15,Metered Lot 6088,Meter Violation,50,0
10/6/15,South Of Sixth 8106,Park/Improper Area,60,80
10/6/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/6/15,Lot Specific 6093,Parking Permit Vio,50,0
10/6/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/6/15,Lot Specific 4052,Park/Improper Area,60,0
10/6/15,Lot Specific 4052,Parking Permit Vio,50,0
10/6/15,Lot Specific 4052,Park/Improper Area,60,0
10/6/15,Lot Specific 4144,Parking Permit Vio,50,0
10/6/15,South Of Sixth 8106,Meter Violation,50,0
10/6/15,South Of Sixth 8106,Meter Violation,50,0
10/6/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/6/15,South Of Sixth 8106,Park/Improper Area,60,0
10/6/15,Hawthorne,Prohibited Parking,85,0
10/6/15,Lot Specific 5072,Parking Permit Vio,50,0
10/6/15,Lot Specific 5072,Parking Permit Vio,50,0
10/6/15,Lot Specific 5072,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,70
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/7/15,Tyndall Ave Garage,Overtime,50,0
10/7/15,Second Street Garage,Parking Permit Vio,50,0
10/7/15,Sixth Street Garage,Parking Over Line,60,0
10/7/15,1000 Block E 4th Street,Service Space,60,0
10/7/15,Svc & Disabled 5073,Service Space,60,0
10/7/15,Main Gate Garage,Parking Over Line,60,0
10/7/15,Main Gate Garage,Parking Over Line,60,20
10/7/15,Lot Specific 4052,Park/Improper Area,60,0
10/7/15,Lot Specific 4052,Park/Improper Area,60,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 4052,Park/Improper Area,60,0
10/7/15,South Of Sixth 8106,Meter Violation,50,70
10/7/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/7/15,Svc & Disabled 5073,Overtime,50,0
10/7/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/7/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/7/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/7/15,Highland Avenue,Service Space,60,80
10/7/15,Metered Lot 3141,Meter Violation,50,70
10/7/15,Svc & Disabled 3140,Overtime,50,0
10/7/15,Lowell Street,Prohibited Parking,85,105
10/7/15,Z1 1018,Parking Over Line,60,0
10/7/15,Warren Avenue North,Park/Improper Area,60,80
10/7/15,Z1 1018,Parking Permit Vio,50,0
10/7/15,Lot Specific 2236,Parking Permit Vio,50,0
10/7/15,Z1 1018,Parking Permit Vio,50,0
10/7/15,UMC Employee Health,Service Space,60,0
10/7/15,UMC Employee Health,Service Space,60,0
10/7/15,Z1 2030,Parking Permit Vio,50,0
10/7/15,Z1 2030,Parking Permit Vio,50,0
10/7/15,Z1 1225,Parking Permit Vio,50,0
10/7/15,Z1 1232,Parking Permit Vio,50,0
10/7/15,Z1 2030,Park/Improper Area,60,0
10/7/15,Cherry Avenue Garage,Parking Over Line,60,80
10/7/15,Z1 1232,Parking Permit Vio,50,0
10/7/15,Lot Specific 1016,Park/Improper Area,60,0
10/7/15,Z1 2030,Parking Permit Vio,50,0
10/7/15,Lot Specific 1016,Parking Permit Vio,50,0
10/7/15,Lot Specific 1016,Parking Permit Vio,50,70
10/7/15,Lot Specific 1016,Parking Permit Vio,50,0
10/7/15,Cherry Avenue Garage,Parking Over Line,60,0
10/7/15,Lot Specific 3039,Park/Improper Area,60,0
10/7/15,Cherry Avenue Garage,Parking Over Line,60,0
10/7/15,Z1 2030,Parking Permit Vio,50,0
10/7/15,Lot Specific 3039,Parking Permit Vio,50,70
10/7/15,Lot Specific 3039,Parking Permit Vio,50,0
10/7/15,Svc & Disabled 3140,W/C Space/Access - 1DA,500,0
10/7/15,Cherry Avenue Garage,Parking Over Line,60,0
10/7/15,University Svs Annex East,Parking Permit Vio,50,0
10/7/15,James E Rogers Way,Meter Violation,50,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,USA Employee West Lots,Parking Permit Vio,50,0
10/7/15,USA Employee West Lots,Parking Permit Vio,50,0
10/7/15,USA Employee West Lots,Parking Permit Vio,50,0
10/7/15,USA Employee West Lots,Parking Permit Vio,50,0
10/7/15,Slonaker,Meter Violation,50,0
10/7/15,Olive Road,Overtime,50,20
10/7/15,Lot Specific 6098,Parking Over Line,60,0
10/7/15,Slonaker,Meter Violation,50,0
10/7/15,South Of Sixth 8106,Park/Improper Area,60,0
10/7/15,South Of Sixth 8106,Meter Violation,50,0
10/7/15,South Of Sixth 8106,Meter Violation,50,0
10/7/15,Z1 1018,Overtime,50,70
10/7/15,Z1 1115,Parking Permit Vio,50,0
10/7/15,Slonaker LD/HC/HR/SV,Overtime,50,0
10/7/15,Z1 1172,Parking Permit Vio,50,70
10/7/15,Z1 1172,Parking Permit Vio,50,0
10/7/15,Z1 1172,Parking Permit Vio,50,0
10/7/15,Svc & Disabled 3140,Park/Improper Area,60,80
10/7/15,Highland Avenue Garage,Parking Over Line,60,0
10/7/15,Lot Specific 3039,Parking Permit Vio,50,0
10/7/15,Svc & Disabled 3140,Service Space,60,0
10/7/15,Lot Specific 3039,Park/Improper Area,60,80
10/7/15,Z1 1233,Park/Improper Area,60,0
10/7/15,Z1 1172,Park/Improper Area,60,0
10/7/15,Z1 1018,Parking Permit Vio,50,0
10/7/15,Lot Specific 6093,Parking Permit Vio,50,0
10/7/15,Lot Specific 5067,Park/Improper Area,60,0
10/7/15,Lot Specific 5067,Parking Permit Vio,50,0
10/7/15,Z1 1018,Parking Permit Vio,50,0
10/7/15,University Svs Annex East,W/C Space/Access - 1DA,500,0
10/7/15,South Of Sixth 7227,Parking Permit Vio,50,0
10/7/15,South Of Sixth 7103,Park/Improper Area,60,0
10/7/15,Lot Specific 3039,Parking Permit Vio,50,0
10/7/15,South Of Sixth 7102,Parking Permit Vio,50,0
10/7/15,Lot Specific 3039,W/C Space/Access - 1DA,500,0
10/7/15,Lot Specific 3039,Parking Permit Vio,50,0
10/7/15,Lot Specific 3039,Park/Improper Area,60,0
10/7/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/7/15,South Of Sixth 8112,Parking Permit Vio,50,0
10/7/15,Lot Specific 4052,Park/Improper Area,60,0
10/7/15,Metered Lot 6088,Service Space,60,0
10/7/15,Metered Lot 6088,Service Space,60,0
10/7/15,Highland Avenue,Service Space,60,0
10/7/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/7/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/7/15,South Of Sixth 8106,Meter Violation,50,70
10/7/15,Modern Language,Prohibited Parking,85,0
10/7/15,1st Street,Service Space,60,0
10/7/15,1st Street,Service Space,60,0
10/7/15,1st Street,Park/Improper Area,60,0
10/7/15,1st Street,Park/Improper Area,60,0
10/7/15,Metered Lot 3141,Park/Improper Area,60,0
10/7/15,Lot Specific 5072,Parking Permit Vio,50,0
10/7/15,Lot Specific 5072,Parking Permit Vio,50,0
10/7/15,Lot Specific 5072,Parking Permit Vio,50,0
10/7/15,Lot Specific 5072,Parking Permit Vio,50,0
10/7/15,Lot Specific 5072,Park/Improper Area,60,0
10/7/15,Lot Specific 5072,Park/Improper Area,60,0
10/7/15,Coronado,Park/Improper Area,60,0
10/7/15,Metered Lot 6088,Service Space,60,0
10/7/15,Metered Lot 6088,Service Space,60,0
10/7/15,Metered Lot 6088,Service Space,60,0
10/7/15,Svc & Disabled 6089,Service Space,60,80
10/7/15,Svc & Disabled 6089,Service Space,60,0
10/7/15,Lot Specific 6093,Service Space,60,0
10/7/15,Metered Lot 6088,W/C Space/Access - 1DA,500,0
10/7/15,Lot Specific 6093,Boot Fee - 1QA,80,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Metered Lot 3141,Park/Improper Area,60,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,1st Street,Park/Improper Area,60,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Boot Fee - 1QA,80,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 5072,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 5072,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 5072,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Park/Improper Area,60,0
10/7/15,Lot Specific 6090,Park/Improper Area,60,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Parking Permit Vio,50,0
10/7/15,Lot Specific 6090,Park/Improper Area,60,0
10/8/15,Tyndall Ave Garage,Overtime,50,70
10/8/15,Tyndall Ave Garage,Overtime,50,0
10/8/15,Tyndall Ave Garage,Overtime,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Over Line,60,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Permit Vio,50,0
10/8/15,Sixth Street Garage,Parking Permit Vio,50,0
10/8/15,Cherry Avenue Garage,Parking Permit Vio,50,0
10/8/15,Cherry Avenue Garage,Parking Permit Vio,50,0
10/8/15,Cherry Avenue Garage,Parking Permit Vio,50,0
10/8/15,Cherry Avenue Garage,Parking Permit Vio,50,0
10/8/15,Lot Specific 6090,Parking Permit Vio,50,70
10/8/15,Lot Specific 6090,Park/Improper Area,60,0
10/8/15,South Of Sixth 8106,Meter Violation,50,0
10/8/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/8/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/8/15,Lot Specific 4052,Parking Permit Vio,50,70
10/8/15,Lot Specific 4052,Parking Permit Vio,50,0
10/8/15,Lot Specific 6097,Parking Permit Vio,50,0
10/8/15,Lot Specific 4054,Park/Improper Area,60,0
10/8/15,Lot Specific 4056,Parking Over Line,60,80
10/8/15,Lot Specific 4056,Parking Permit Vio,50,70
10/8/15,Z1 2155,Parking Permit Vio,50,0
10/8/15,Main Gate Garage,Parking Over Line,60,0
10/8/15,Cherry Avenue Garage,Parking Over Line,60,0
10/8/15,Main Gate Garage,Parking Over Line,60,0
10/8/15,Main Gate Garage,Parking Over Line,60,0
10/8/15,Z1 2235,Parking Permit Vio,50,0
10/8/15,Z1 2171,Parking Permit Vio,50,0
10/8/15,Svc & Disabled 1142,Overtime,50,70
10/8/15,Svc & Disabled 1142,Overtime,50,0
10/8/15,Lot Specific 6090,Prohibited Parking,85,0
10/8/15,Lot Specific 6097,Service Space,60,0
10/8/15,1200 Block Martin,Parking Permit Vio,50,0
10/8/15,Z1 2030,Parking Permit Vio,50,0
10/8/15,Z1 2030,Meter Violation,50,70
10/8/15,Lot Specific 5072,Parking Permit Vio,50,0
10/8/15,Lot Specific 4052,Prohibited Parking,85,0
10/8/15,Lot Specific 4052,Prohibited Parking,85,0
10/8/15,Z1 2030,Meter Violation,50,0
10/8/15,Z1 2030,Meter Violation,50,0
10/8/15,Lot Specific 5067,Parking Permit Vio,50,0
10/8/15,Z1 2030,Meter Violation,50,0
10/8/15,Z1 2030,Meter Violation,50,0
10/8/15,Second Street Garage,Park/Improper Area,60,80
10/8/15,Lot Specific 3039,Parking Permit Vio,50,0
10/8/15,Lot Specific 3039,Parking Permit Vio,50,0
10/8/15,Lot Specific 3039,Park/Improper Area,60,0
10/8/15,South Of Sixth 7105,Park/Improper Area,60,0
10/8/15,1500 Block Drachman,Parking Permit Vio,50,0
10/8/15,Lot Specific 1016,Parking Permit Vio,50,0
10/8/15,Highland Avenue Garage,Parking Over Line,60,0
10/8/15,Lot Specific 1016,Parking Permit Vio,50,0
10/8/15,Lot Specific 1016,Parking Permit Vio,50,70
10/8/15,Lot Specific 1157,Parking Permit Vio,50,0
10/8/15,4th Street,Overtime,50,0
10/8/15,Svc & Disabled 5073,Overtime,50,0
10/8/15,Svc & Disabled 5073,Overtime,50,0
10/8/15,Z1 1172,Parking Permit Vio,50,0
10/8/15,Z1 1240,Parking Permit Vio,50,70
10/8/15,Svc & Disabled 5183,Overtime,50,0
10/8/15,Tyndall Ave,Park/Improper Area,60,20
10/8/15,Z1 1225,Parking Permit Vio,50,0
10/8/15,Vine Avenue,Park/Improper Area,60,0
10/8/15,Lot Specific 6090,Park/Improper Area,60,0
10/8/15,Lot Specific 6093,Parking Permit Vio,50,0
10/8/15,Lot Specific 6093,Parking Permit Vio,50,0
10/8/15,Metered Lot 6088,Meter Violation,50,0
10/8/15,Metered Lot 6088,Meter Violation,50,0
10/8/15,Metered Lot 6088,Meter Violation,50,0
10/8/15,Metered Lot 6088,Meter Violation,50,0
10/8/15,Metered Lot 6088,Meter Violation,50,0
10/8/15,Z1 2119,Parking Permit Vio,50,0
10/8/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/8/15,South Of Sixth 8106,Parking Permit Vio,50,70
10/8/15,Z1 2136,Parking Permit Vio,50,0
10/8/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/8/15,Lot Specific 4057,Park/Improper Area,60,0
10/8/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/8/15,Z1 2136,Parking Permit Vio,50,0
10/8/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/8/15,Z1 2136,Park/Improper Area,60,0
10/8/15,South Of Sixth 8106,Parking Permit Vio,50,70
10/8/15,Lot Specific 4164,Park/Improper Area,60,0
10/8/15,South Of Sixth 8106,Park/Improper Area,60,0
10/8/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/8/15,Alley Vine To Cherry,Service Space,60,80
10/8/15,Coronado,Prohibited Parking,85,105
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Over Line,60,0
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Over Line,60,0
10/9/15,Tyndall Ave Garage,Park/Improper Area,60,0
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,20
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Permit Vio,50,0
10/9/15,Lot Specific 5072,Park/Improper Area,60,0
10/9/15,Lot Specific 5067,Parking Permit Vio,50,0
10/9/15,Slonaker LD/HC/HR/SV,Parking Over Line,60,0
10/9/15,Slonaker LD/HC/HR/SV,Parking Over Line,60,0
10/9/15,Slonaker LD/HC/HR/SV,Meter Violation,50,0
10/9/15,Lot Specific 5072,Parking Permit Vio,50,0
10/9/15,Slonaker LD/HC/HR/SV,Meter Violation,50,0
10/9/15,Lot Specific 5072,Parking Permit Vio,50,0
10/9/15,Lot Specific 5072,Meter Violation,50,0
10/9/15,Metered Lot 6088,Meter Violation,50,0
10/9/15,Metered Lot 6088,Meter Violation,50,0
10/9/15,Metered Lot 6088,Meter Violation,50,70
10/9/15,Metered Lot 6088,Meter Violation,50,0
10/9/15,Metered Lot 3141,Meter Violation,50,0
10/9/15,Metered Lot 6088,Meter Violation,50,0
10/9/15,South Of Sixth 8178,Parking Permit Vio,50,0
10/9/15,Metered Lot 3141,Meter Violation,50,0
10/9/15,South Of Sixth 8178,Parking Permit Vio,50,0
10/9/15,South Of Sixth 8178,Parking Permit Vio,50,0
10/9/15,Svc & Disabled 3140,Service Space,60,0
10/9/15,South Of Sixth 8106,Park/Improper Area,60,0
10/9/15,South Of Sixth 8106,Park/Improper Area,60,0
10/9/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/9/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/9/15,Svc & Disabled 3140,Park/Improper Area,60,0
10/9/15,Z1 2030,Meter Violation,50,0
10/9/15,Second Street Garage,Parking Over Line,60,0
10/9/15,Tyndall Ave,Overtime,50,0
10/9/15,South Of Sixth 7105,Parking Permit Vio,50,0
10/9/15,Tyndall Ave Garage,Parking Over Line,60,0
10/9/15,Tyndall Ave Garage,Parking Over Line,60,80
10/9/15,Lot Specific 4052,Parking Permit Vio,50,0
10/9/15,South Of Sixth 7156,Parking Permit Vio,50,0
10/9/15,South Of Sixth 7156,Parking Permit Vio,50,0
10/9/15,Lot Specific 3039,Park/Improper Area,60,0
10/9/15,Lot Specific 3039,Park/Improper Area,60,0
10/9/15,Lot Specific 3039,Parking Permit Vio,50,0
10/9/15,Lot Specific 3039,Parking Permit Vio,50,0
10/9/15,Highland Avenue Garage,Prohibited Parking,85,20
10/9/15,Highland Avenue Garage,Parking Over Line,60,0
10/9/15,Lot Specific 6097,Parking Permit Vio,50,0
10/9/15,South Of Sixth 7103,Meter Violation,50,0
10/9/15,Lot Specific 6097,Parking Permit Vio,50,0
10/9/15,South Of Sixth 7103,Meter Violation,50,0
10/9/15,Svc & Disabled 5075,Service Space,60,80
10/9/15,Lot Specific 5072,Parking Over Line,60,0
10/9/15,South Of Sixth 8106,Parking Permit Vio,50,0
10/9/15,Lot Specific 5067,Parking Permit Vio,50,0
10/9/15,Lot Specific 5067,Parking Permit Vio,50,0
10/9/15,Lot Specific 2012,Meter Violation,50,0
10/9/15,2nd Street,Prohibited Parking,85,105
10/9/15,Z1 2030,Parking Permit Vio,50,0
10/9/15,Second Street Garage,Parking Over Line,60,0
10/9/15,Svc & Disabled 5075,Service Space,60,0
10/9/15,Svc & Disabled 5073,Park/Improper Area,60,0
10/9/15,Lot Specific 6092,Park/Improper Area,60,0
10/9/15,Tyndall Ave Garage,Prohibited Parking,85,0
10/10/15,Lot Specific 4052,Park/Improper Area,60,10
10/10/15,Lot Specific 4052,Park/Improper Area,60,0
10/10/15,Lot Specific 6090,Park/Improper Area,60,0
10/10/15,Lot Specific 6090,Park/Improper Area,60,0
10/10/15,Lot Specific 4052,Park/Improper Area,60,0
10/10/15,Lot Specific 6090,Park/Improper Area,60,80
10/10/15,Lot Specific 4052,Park/Improper Area,60,0
10/10/15,Lot Specific 6090,Park/Improper Area,60,0
10/10/15,Lot Specific 4052,Park/Improper Area,60,0
10/10/15,Lot Specific 6090,Park/Improper Area,60,0
10/10/15,Lot Specific 6090,Park/Improper Area,60,0
10/10/15,Lot Specific 6090,Park/Improper Area,60,0
10/10/15,Lot Specific 4052,Park/Improper Area,60,0
10/10/15,Lot Specific 4052,Park/Improper Area,60,0
10/10/15,Lot Specific 4052,Park/Improper Area,60,0
10/10/15,Metered Lot 6088,Park/Improper Area,60,80
10/10/15,Lot Specific 6097,Park/Improper Area,60,80
10/10/15,Metered Lot 6088,Park/Improper Area,60,0
10/10/15,Metered Lot 6088,Park/Improper Area,60,0
10/10/15,Lot Specific 4052,Park/Improper Area,60,80
10/10/15,Lot Specific 6097,Park/Improper Area,60,20
10/10/15,Lot Specific 6090,Park/Improper Area,60,0
10/11/15,Tyndall Ave Garage,W/C Space/Access - 1DA,500,0
10/12/15,Park Avenue Garage,Parking Permit Vio,50,0
10/12/15,Park Avenue Garage,Parking Permit Vio,50,0
